AUTOID;INSTALACIONID;REGIMEN;INSTALACION;AUTONOMIA
1;;ORDINARIO;ABONO 1;Principado de Asturias
2;;ORDINARIO;abono 2;Principado de Asturias
3;;ORDINARIO;CTCC PLANA DEL VENT 2;Cataluna
4;;ORDINARIO;GRANADA 1;Navarra
5;;ORDINARIO;GRANADA 2;Navarra
6;;ORDINARIO;LOZABIAN;Navarra
7;;ORDINARIO;TORRECILLA III GRUPO 1;Castilla y Leon
8;;ORDINARIO;TORRECILLA III GRUPO 2;Castilla y Leon
9;;ORDINARIO;ZIERBENA;Pais Vasco
10;;ORDINARIO;ABARAN 1;Region de Murcia
11;;ORDINARIO;ABARAN 2;Region de Murcia
12;;ORDINARIO;ALCALA DEL JUCAR 1;Castilla-La Mancha
13;;ORDINARIO;ALCALA DEL JUCAR 2;Castilla-La Mancha
14;;ORDINARIO;ANTONANA 1;Pais Vasco
15;;ORDINARIO;ANTONANA 2;Pais Vasco
16;;ORDINARIO;ARCHENA;Region de Murcia
17;;ORDINARIO;ARIZMENDI;Pais Vasco
18;;ORDINARIO;ARROLLANDIETA;Navarra
19;;ORDINARIO;BOLINCHES;Castilla-La Mancha
20;;ORDINARIO;CASEDA 1;Navarra
21;;ORDINARIO;CASEDA 2;Navarra
22;;ORDINARIO;CHIRRISQUIN 1;Navarra
23;;ORDINARIO;EL SOLVENTE 2;Region de Murcia
24;;ORDINARIO;EL TORCIDO;Castilla-La Mancha
25;;ORDINARIO;ENDARLAZA;Navarra
26;;ORDINARIO;GALLIPIENZO 1;Navarra
27;;ORDINARIO;GALLIPIENZO 2;Navarra
28;;ORDINARIO;LA GOSALVEZ;Castilla-La Mancha
29;;ORDINARIO;LA LOSA 1;Castilla-La Mancha
30;;ORDINARIO;LA LOSA 2;Castilla-La Mancha
31;;ORDINARIO;LA LOSA 3;Castilla-La Mancha
32;;ORDINARIO;LA MANCHEGA;Castilla-La Mancha
33;;ORDINARIO;LA MARMOTA 1;Castilla-La Mancha
34;;ORDINARIO;LA MARMOTA 2;Castilla-La Mancha
35;;ORDINARIO;LA RECUEJA 1;Castilla-La Mancha
36;;ORDINARIO;LA RECUEJA 2;Castilla-La Mancha
37;;ORDINARIO;LORCHA;Comunidad Valenciana
38;;ORDINARIO;LOS BATANEJOS;Castilla-La Mancha
39;;ORDINARIO;LOS DORNAJOS 1;Castilla-La Mancha
40;;ORDINARIO;LOS DORNAJOS 2;Castilla-La Mancha
41;;ORDINARIO;LOS NUEVOS 1;Castilla-La Mancha
42;;ORDINARIO;LOS NUEVOS 2;Castilla-La Mancha
43;;ORDINARIO;MANISES 1;Comunidad Valenciana
44;;ORDINARIO;MENDARAZ 1;Pais Vasco
45;;ORDINARIO;MENDARAZ 2;Pais Vasco
46;;ORDINARIO;MORANCHEL 1;Castilla-La Mancha
47;;ORDINARIO;MORANCHEL 2;Castilla-La Mancha
48;;ORDINARIO;OJER Y MARCOS;Navarra
49;;ORDINARIO;PLAZAKOLA;Pais Vasco
50;;ORDINARIO;REPRIMALA;Comunidad Valenciana
51;;ORDINARIO;RINCON DEL DUQUE 1;Comunidad Valenciana
52;;ORDINARIO;RINCON DEL DUQUE 2;Comunidad Valenciana
53;;ORDINARIO;RIO MUERTO 1;Region de Murcia
54;;ORDINARIO;SAN FAUSTO 1;Navarra
55;;ORDINARIO;SAN FAUSTO 2;Navarra
56;;ORDINARIO;SANGUESA;Navarra
57;;ORDINARIO;ULEA;Region de Murcia
58;;ORDINARIO;YANCI II 1;Navarra
59;;ORDINARIO;YANCI II 2;Navarra
60;;ORDINARIO;BATAN-RIOBARBA;Galicia
61;;ORDINARIO;CHAVIN;Galicia
62;;ORDINARIO;FERVENCIA;Galicia
63;;ORDINARIO;GERDIZ;Galicia
64;;ORDINARIO;PIAGO DE MARTUL;Galicia
65;;ORDINARIO;POZO CAPITAN;Galicia
66;;ORDINARIO;TRONCEDA 1;Galicia
67;;ORDINARIO;TRONCEDA 2;Galicia
68;;ORDINARIO;AMOREBIETA;Pais Vasco
69;;ORDINARIO;CTCC SOTO DE RIBERA, GRUPO 4;Principado de Asturias
70;;ORDINARIO;CTCC SOTO DE RIBERA, GRUPO 5;Principado de Asturias
71;;ORDINARIO;SOTO RIBERA 3;Principado de Asturias
72;;ORDINARIO;COTESA;Canarias
73;;ORDINARIO;DEL MOLINO;Cataluna
74;;ORDINARIO;RESSEC (ASERRADORA);Cataluna
75;;ORDINARIO;LANCARA GRUPO 1;Castilla y Leon
76;;ORDINARIO;LANCARA GRUPO 2;Castilla y Leon
77;;ORDINARIO;BARROSA;Aragon
78;;ORDINARIO;LAFORTUNADA CINQUETA 1;Aragon
79;;ORDINARIO;LAFORTUNADA CINQUETA 2;Aragon
80;;ORDINARIO;URDICETO 1;Aragon
81;;ORDINARIO;URDICETO 2;Aragon
82;;ORDINARIO;EL PELGO GRUPO 1;Castilla y Leon
83;;ORDINARIO;EL PELGO GRUPO 2;Castilla y Leon
84;;ORDINARIO;ARRUBAL GRUPO 1;La Rioja
85;;ORDINARIO;ARRUBAL GRUPO 2;La Rioja
86;;ORDINARIO;ANZANIGO;Aragon
87;;ORDINARIO;ARATORES;Aragon
88;;ORDINARIO;ARGONE 1;Aragon
89;;ORDINARIO;ARGONE 2;Aragon
90;;ORDINARIO;BIESCAS II 1;Aragon
91;;ORDINARIO;BIESCAS II 2;Aragon
92;;ORDINARIO;CANALROYA;Aragon
93;;ORDINARIO;CARCAVILLA;Aragon
94;;ORDINARIO;CASABLANCA;Aragon
95;;ORDINARIO;CASTELFABIB;Comunidad Valenciana
96;;ORDINARIO;CASTIELLO;Aragon
97;;ORDINARIO;EL BERBEL 1;Navarra
98;;ORDINARIO;EL BERBEL 2;Navarra
99;;ORDINARIO;EL BERBEL 3;Navarra
100;;ORDINARIO;EMBID DE LA RIBERA 1;Aragon
101;;ORDINARIO;EMBID DE LA RIBERA 2;Aragon
102;;ORDINARIO;ERISTE 1;Aragon
103;;ORDINARIO;ERISTE 2;Aragon
104;;ORDINARIO;GRADO I 1;Aragon
105;;ORDINARIO;GRADO I 2;Aragon
106;;ORDINARIO;GRADO II 1;Aragon
107;;ORDINARIO;GRADO II 2;Aragon
108;;ORDINARIO;HIDROELECTRICA DE HUESCA;Aragon
109;;ORDINARIO;IP 1;Aragon
110;;ORDINARIO;IP 2;Aragon
111;;ORDINARIO;IP 3;Aragon
112;;ORDINARIO;JABARRELLA 1;Aragon
113;;ORDINARIO;JABARRELLA 2;Aragon
114;;ORDINARIO;JABARRELLA 3;Aragon
115;;ORDINARIO;JACA 1;Aragon
116;;ORDINARIO;JACA 2;Aragon
117;;ORDINARIO;JAVIERRELATRE 1;Aragon
118;;ORDINARIO;JAVIERRELATRE 2;Aragon
119;;ORDINARIO;LA MORANA 1;Aragon
120;;ORDINARIO;LA MORANA 2;Aragon
121;;ORDINARIO;LA MORCA;Aragon
122;;ORDINARIO;LAFORTUNADA CINCA 1;Aragon
123;;ORDINARIO;LAFORTUNADA CINCA 2;Aragon
124;;ORDINARIO;LAFORTUNADA CINCA 3;Aragon
125;;ORDINARIO;LANUZA 1;Aragon
126;;ORDINARIO;LANUZA 2;Aragon
127;;ORDINARIO;LASPUNA 1;Aragon
128;;ORDINARIO;LASPUNA 2;Aragon
129;;ORDINARIO;LOS RABANOS 1;Castilla y Leon
130;;ORDINARIO;LOS RABANOS 2;Castilla y Leon
131;;ORDINARIO;MARRACOS 1;Aragon
132;;ORDINARIO;MARRACOS 2;Aragon
133;;ORDINARIO;MEDIANO 1;Aragon
134;;ORDINARIO;MEDIANO 2;Aragon
135;;ORDINARIO;PURROY;Aragon
136;;ORDINARIO;RIVERA 1;Aragon
137;;ORDINARIO;SABINANIGO 1;Aragon
138;;ORDINARIO;SABINANIGO2;Aragon
139;;ORDINARIO;SALINAS;Aragon
140;;ORDINARIO;SAN MATEO;Aragon
141;;ORDINARIO;SEIRA II 1;Aragon
142;;ORDINARIO;SEIRA II 2;Aragon
143;;ORDINARIO;SEIRA II 3;Aragon
144;;ORDINARIO;VILLANUA;Aragon
145;;ORDINARIO;MARINA DE CUDEYO (COGENERACION 75,5);Cantabria
146;;ORDINARIO;CANO 1;Principado de Asturias
147;;ORDINARIO;CANO2;Principado de Asturias
148;;ORDINARIO;FLORIDA 1;Principado de Asturias
149;;ORDINARIO;FLORIDA 2;Principado de Asturias
150;;ORDINARIO;FLORIDA 3;Principado de Asturias
151;;ORDINARIO;LA BARCA 1;Principado de Asturias
152;;ORDINARIO;LA BARCA 2;Principado de Asturias
153;;ORDINARIO;LA BARCA 3;Principado de Asturias
154;;ORDINARIO;LA MALVA 1;Principado de Asturias
155;;ORDINARIO;LA MALVA 2;Principado de Asturias
156;;ORDINARIO;LA MALVA 3;Principado de Asturias
157;;ORDINARIO;LA MALVA 4;Principado de Asturias
158;;ORDINARIO;LA RIERA 1;Principado de Asturias
159;;ORDINARIO;LA RIERA 2;Principado de Asturias
160;;ORDINARIO;LA RIERA 3;Principado de Asturias
161;;ORDINARIO;LAVIANA 1;Principado de Asturias
162;;ORDINARIO;LAVIANA 2;Principado de Asturias
163;;ORDINARIO;LAVIANA 3;Principado de Asturias
164;;ORDINARIO;MIRANDA 1;Principado de Asturias
165;;ORDINARIO;MIRANDA 2;Principado de Asturias
166;;ORDINARIO;MIRANDA 3;Principado de Asturias
167;;ORDINARIO;MIRANDA 4;Principado de Asturias
168;;ORDINARIO;PRIANES 1;Principado de Asturias
169;;ORDINARIO;PRIANES 2;Principado de Asturias
170;;ORDINARIO;PRIANES 3;Principado de Asturias
171;;ORDINARIO;PROAZA 1;Principado de Asturias
172;;ORDINARIO;PROAZA 2;Principado de Asturias
173;;ORDINARIO;SALIME 1;Principado de Asturias
174;;ORDINARIO;SALIME 2;Principado de Asturias
175;;ORDINARIO;SALIME 3;Principado de Asturias
176;;ORDINARIO;SALIME 4;Principado de Asturias
177;;ORDINARIO;SAN ISIDRO 1;Principado de Asturias
178;;ORDINARIO;SAN ISIDRO 2;Principado de Asturias
179;;ORDINARIO;TANES 1;Principado de Asturias
180;;ORDINARIO;TANES 2;Principado de Asturias
181;;ORDINARIO;POBLA II 1;Cataluna
182;;ORDINARIO;POBLA II 2;Cataluna
183;;ORDINARIO;MORELLA 1;Comunidad Valenciana
184;;ORDINARIO;MORELLA 2;Comunidad Valenciana
185;;ORDINARIO;AIGUAMOIX;Cataluna
186;;ORDINARIO;ALCALA DEL RIO 2;Andalucia
